n_tablet,n_llm,n_common,within5,within15,mean_abs_start_err,timed_len_err,errs,lens,cost,file
17,17,17,10.0,14.0,11.6,16.3,"{'listcomp_urd': 56.3, 'letterid_urd': -0.6, 'idwrd_urd': 0.0, 'orf_urd': 7.6, 'rdcomp_urd': -0.8, 'listcomp_eng': 34.9, 'letterid_eng': 0.0, 'pw_eng': -0.5, 'idwrd_eng': -0.1, 'orf_eng': 7.1, 'rdcomp_eng': 2.3, 'idnummag': -14.3, 'numrep': -2.1, 'blfluency': 9.4, 'bleffcomp': -54.8, 'wrdpblm': -3.2, 'patterns': 3.5}","{'listcomp_urd': (33.7, 93.0), 'letterid_urd': (51.1, 57.0), 'idwrd_urd': (45.5, 49.0), 'orf_urd': (35.2, 50.0), 'rdcomp_urd': (31.0, 34.0), 'listcomp_eng': (33.3, 73.0), 'letterid_eng': (42.2, 48.0), 'pw_eng': (73.0, 77.0), 'idwrd_eng': (60.2, 69.0), 'orf_eng': (49.1, 58.0), 'rdcomp_eng': (33.4, 37.0), 'idnummag': (39.2, 27.0), 'numrep': (61.4, 62.0), 'blfluency': (54.5, 133.0), 'bleffcomp': (73.7, 30.0), 'wrdpblm': (65.7, 59.0), 'patterns': (43.1, 49.0)}",0.08472,AA_0d47b184-8f04-431
15,12,11,3.0,6.0,19.7,32.0,"{'listcomp_urd': 0.0, 'orf_urd': 29.5, 'rdcomp_urd': -0.5, 'listcomp_eng': 31.4, 'letterid_eng': -2.2, 'pw_eng': 13.7, 'idwrd_eng': 6.4, 'idnummag': -33.3, 'numrep': 9.4, 'bleffcomp': -50.1, 'patterns': -39.8}","{'listcomp_urd': (38.9, 50.0), 'orf_urd': (111.7, 208.0), 'rdcomp_urd': (2.3, 32.0), 'listcomp_eng': (22.0, 75.0), 'letterid_eng': (82.1, 73.0), 'pw_eng': (33.4, 52.0), 'idwrd_eng': (51.9, 56.0), 'idnummag': (136.8, 100.0), 'numrep': (2.8, 26.0), 'bleffcomp': (65.0, 41.0), 'patterns': (29.0, 37.0)}",0.07951,AA_0e2dac14-5204-4dc
15,15,14,5.0,12.0,12.8,10.5,"{'listcomp_urd': 71.2, 'letterid_urd': -10.8, 'idwrd_urd': -9.2, 'orf_urd': 7.7, 'listcomp_eng': 35.9, 'letterid_eng': -10.2, 'pw_eng': -3.9, 'idwrd_eng': -1.5, 'idnummag': -9.4, 'numrep': -4.9, 'blfluency': 2.4, 'bleffcomp': 6.3, 'wrdpblm': 5.7, 'patterns': 0.0}","{'listcomp_urd': (33.6, 121.0), 'letterid_urd': (66.6, 67.0), 'idwrd_urd': (79.5, 87.0), 'orf_urd': (58.5, 85.0), 'listcomp_eng': (23.0, 72.0), 'letterid_eng': (69.9, 74.0), 'pw_eng': (13.1, 19.0), 'idwrd_eng': (108.7, 122.0), 'idnummag': (37.3, 59.0), 'numrep': (56.6, 61.0), 'blfluency': (60.2, 76.0), 'bleffcomp': (11.2, 25.0), 'wrdpblm': (66.4, 82.0), 'patterns': (30.7, 40.0)}",0.1062825,AA_0f412e35-93b8-4b7
15,15,15,11.0,13.0,7.7,15.3,"{'listcomp_urd': 17.6, 'letterid_urd': -1.1, 'idwrd_urd': -2.8, 'orf_urd': 5.0, 'rdcomp_urd': 0.0, 'listcomp_eng': 54.5, 'letterid_eng': -0.5, 'pw_eng': -1.3, 'idwrd_eng': 3.6, 'idnummag': -2.4, 'numrep': -1.5, 'blfluency': 3.8, 'bleffcomp': 13.6, 'wrdpblm': -1.3, 'patterns': 6.2}","{'listcomp_urd': (18.2, 43.0), 'letterid_urd': (59.8, 80.0), 'idwrd_urd': (83.6, 91.0), 'orf_urd': (60.0, 82.0), 'rdcomp_urd': (31.0, 36.0), 'listcomp_eng': (13.7, 78.0), 'letterid_eng': (57.5, 70.0), 'pw_eng': (63.2, 74.0), 'idwrd_eng': (73.5, 97.0), 'idnummag': (41.5, 46.0), 'numrep': (61.5, 67.0), 'blfluency': (74.5, 85.0), 'bleffcomp': (28.3, 50.0), 'wrdpblm': (26.4, 45.0), 'patterns': (44.9, 59.0)}",0.0874325,AA_12d53cb2-6597-40c
13,12,12,8.0,11.0,6.7,8.7,"{'listcomp_urd': 29.6, 'letterid_urd': -4.3, 'idwrd_urd': 5.0, 'letterid_eng': 0.0, 'pw_eng': -3.8, 'idwrd_eng': -3.6, 'idnummag': -8.5, 'numrep': 5.5, 'blfluency': 4.4, 'bleffcomp': 8.3, 'wrdpblm': -3.7, 'patterns': -4.2}","{'listcomp_urd': (12.8, 79.0), 'letterid_urd': (66.7, 72.0), 'idwrd_urd': (50.6, 37.0), 'letterid_eng': (58.4, 67.0), 'pw_eng': (23.2, 29.0), 'idwrd_eng': (155.8, 163.0), 'idnummag': (46.0, 53.0), 'numrep': (41.9, 67.0), 'blfluency': (40.1, 52.0), 'bleffcomp': (9.9, 22.0), 'wrdpblm': (76.9, 91.0), 'patterns': (50.2, 50.0)}",0.0830725,AA_135c74c9-c70c-435
15,14,14,7.0,10.0,17.6,29.6,"{'listcomp_urd': 48.4, 'letterid_urd': -12.8, 'idwrd_urd': 8.9, 'orf_urd': -44.2, 'rdcomp_urd': -4.1, 'listcomp_eng': 33.2, 'letterid_eng': 3.3, 'idwrd_eng': 12.6, 'idnummag': -69.9, 'numrep': -1.4, 'blfluency': -3.3, 'bleffcomp': -3.4, 'wrdpblm': 0.9, 'patterns': 0.0}","{'listcomp_urd': (43.7, 103.0), 'letterid_urd': (70.7, 64.0), 'idwrd_urd': (48.7, 118.0), 'orf_urd': (28.9, 100.0), 'rdcomp_urd': (41.0, 50.0), 'listcomp_eng': (68.8, 112.0), 'letterid_eng': (59.4, 77.0), 'idwrd_eng': (103.1, 101.0), 'idnummag': (118.5, 64.0), 'numrep': (64.3, 79.0), 'blfluency': (56.2, 67.0), 'bleffcomp': (16.3, 23.0), 'wrdpblm': (103.2, 116.0), 'patterns': (86.2, 95.0)}",0.140375,AA_158fcd1e-4d4e-4d0
13,9,8,3.0,6.0,31.0,43.4,"{'listcomp_urd': -5.0, 'letterid_eng': -6.1, 'pw_eng': 8.9, 'idnummag': 11.2, 'blfluency': 2.9, 'bleffcomp': -31.4, 'wrdpblm': -182.8, 'patterns': 0.0}","{'listcomp_urd': (36.1, 40.0), 'letterid_eng': (77.5, 66.0), 'pw_eng': (23.2, 33.0), 'idnummag': (0.3, 56.0), 'blfluency': (20.2, 129.0), 'bleffcomp': (2.8, 19.0), 'wrdpblm': (0.2, 11.0), 'patterns': (0.2, 31.0)}",0.08794375,AA_174662a2-7c83-461
15,11,11,3.0,6.0,32.1,23.3,"{'listcomp_urd': 31.7, 'orf_urd': -195.9, 'rdcomp_urd': 0.0, 'listcomp_eng': 42.3, 'letterid_eng': -1.4, 'idwrd_eng': -41.4, 'idnummag': 5.4, 'numrep': -20.8, 'blfluency': 7.9, 'wrdpblm': 5.7, 'patterns': -0.9}","{'listcomp_urd': (23.0, 53.0), 'orf_urd': (46.9, 109.0), 'rdcomp_urd': (17.8, 23.0), 'listcomp_eng': (17.7, 65.0), 'letterid_eng': (72.8, 74.0), 'idwrd_eng': (133.9, 150.0), 'idnummag': (28.7, 43.0), 'numrep': (64.8, 46.0), 'blfluency': (55.3, 69.0), 'wrdpblm': (68.5, 80.0), 'patterns': (27.1, 32.0)}",0.11295625,AA_19062548-6352-45b
17,14,14,5.0,10.0,11.8,26.4,"{'listcomp_urd': 32.2, 'idwrd_urd': 3.3, 'orf_urd': -0.6, 'rdcomp_urd': -8.9, 'listcomp_eng': 9.1, 'letterid_eng': -1.9, 'idwrd_eng': -29.7, 'orf_eng': 0.9, 'rdcomp_eng': 0.0, 'idnummag': 31.9, 'numrep': -5.2, 'blfluency': 6.9, 'wrdpblm': -28.4, 'patterns': -6.7}","{'listcomp_urd': (22.4, 57.0), 'idwrd_urd': (67.5, 78.0), 'orf_urd': (21.7, 104.0), 'rdcomp_urd': (32.1, 35.0), 'listcomp_eng': (68.9, 80.0), 'letterid_eng': (64.5, 71.0), 'idwrd_eng': (89.2, 81.0), 'orf_eng': (97.1, 98.0), 'rdcomp_eng': (14.7, 26.0), 'idnummag': (34.0, 81.0), 'numrep': (48.7, 53.0), 'blfluency': (77.9, 128.0), 'wrdpblm': (25.9, 8.0), 'patterns': (16.4, 26.0)}",0.0898775,AA_1972026f-6357-47c
13,11,9,5.0,5.0,15.9,16.5,"{'listcomp_urd': 30.1, 'idwrd_urd': 0.0, 'listcomp_eng': 56.8, 'letterid_eng': 3.1, 'pw_eng': -24.2, 'idnummag': -20.1, 'numrep': 1.9, 'wrdpblm': -3.8, 'patterns': -2.7}","{'listcomp_urd': (49.6, 85.0), 'idwrd_urd': (5.5, 39.0), 'listcomp_eng': (15.1, 77.0), 'letterid_eng': (58.4, 72.0), 'pw_eng': (12.7, 15.0), 'idnummag': (62.8, 50.0), 'numrep': (85.9, 95.0), 'wrdpblm': (80.8, 85.0), 'patterns': (73.6, 77.0)}",0.11135625,AA_1b71e9b9-d0ef-470
13,8,8,2.0,5.0,21.6,41.2,"{'letterid_urd': 12.4, 'idwrd_urd': 25.4, 'letterid_eng': 0.0, 'idnummag': -12.1, 'numrep': -14.1, 'bleffcomp': -72.3, 'wrdpblm': -32.5, 'patterns': 4.4}","{'letterid_urd': (60.4, 81.0), 'idwrd_urd': (34.1, 41.0), 'letterid_eng': (161.2, 65.0), 'idnummag': (27.1, 33.0), 'numrep': (20.1, 17.0), 'bleffcomp': (37.3, 5.0), 'wrdpblm': (44.0, 15.0), 'patterns': (41.5, 56.0)}",0.07923375,AA_1bb7fdea-6bc2-422
17,17,17,13.0,14.0,11.2,25.3,"{'listcomp_urd': -1.7, 'letterid_urd': -0.2, 'idwrd_urd': 0.1, 'orf_urd': 0.3, 'rdcomp_urd': -5.1, 'listcomp_eng': 51.6, 'letterid_eng': 0.4, 'pw_eng': 0.3, 'idwrd_eng': -45.7, 'orf_eng': 3.4, 'rdcomp_eng': -4.5, 'idnummag': 4.1, 'numrep': 0.0, 'blfluency': 2.2, 'bleffcomp': -68.6, 'wrdpblm': -1.2, 'patterns': -1.1}","{'listcomp_urd': (40.4, 41.0), 'letterid_urd': (66.2, 70.0), 'idwrd_urd': (36.1, 44.0), 'orf_urd': (32.8, 45.0), 'rdcomp_urd': (26.0, 23.0), 'listcomp_eng': (13.4, 72.0), 'letterid_eng': (64.1, 72.0), 'pw_eng': (54.3, 116.0), 'idwrd_eng': (39.1, 55.0), 'orf_eng': (42.8, 54.0), 'rdcomp_eng': (13.8, 11.0), 'idnummag': (23.8, 28.0), 'numrep': (35.8, 45.0), 'blfluency': (57.1, 139.0), 'bleffcomp': (85.5, 27.0), 'wrdpblm': (23.6, 33.0), 'patterns': (27.4, 37.0)}",0.088755,AA_1d938bbd-776b-4b6
15,14,13,5.0,10.0,12.8,20.5,"{'listcomp_urd': 36.7, 'letterid_urd': 1.6, 'idwrd_urd': 7.6, 'orf_urd': -11.7, 'listcomp_eng': 50.9, 'letterid_eng': 2.7, 'pw_eng': 0.0, 'idwrd_eng': -5.2, 'idnummag': -21.1, 'numrep': -9.8, 'blfluency': 2.2, 'wrdpblm': -14.4, 'patterns': -2.2}","{'listcomp_urd': (23.0, 76.0), 'letterid_urd': (14.2, 27.0), 'idwrd_urd': (180.6, 211.0), 'orf_urd': (41.5, 34.0), 'listcomp_eng': (44.6, 111.0), 'letterid_eng': (61.5, 90.0), 'pw_eng': (25.0, 40.0), 'idwrd_eng': (188.0, 203.0), 'idnummag': (75.3, 75.0), 'numrep': (78.9, 78.0), 'blfluency': (100.5, 66.0), 'wrdpblm': (50.6, 42.0), 'patterns': (7.0, 20.0)}",0.09262,AA_1e4a7c58-e85a-483
13,16,13,1.0,1.0,591.5,84.7,"{'listcomp_urd': -576.2, 'letterid_urd': -487.9, 'idwrd_urd': -493.7, 'listcomp_eng': -263.4, 'letterid_eng': -256.8, 'pw_eng': -201.3, 'idwrd_eng': 0.0, 'idnummag': 646.0, 'numrep': 766.2, 'blfluency': 898.2, 'bleffcomp': 858.2, 'wrdpblm': 1059.7, 'patterns': 1182.4}","{'listcomp_urd': (44.3, 63.0), 'letterid_urd': (44.4, 66.0), 'idwrd_urd': (75.8, 26.0), 'listcomp_eng': (65.5, 80.0), 'letterid_eng': (60.2, 68.0), 'pw_eng': (189.1, 29.0), 'idwrd_eng': (227.9, 21.0), 'idnummag': (145.6, 78.0), 'numrep': (191.0, 74.0), 'blfluency': (50.9, 113.0), 'bleffcomp': (168.7, 20.0), 'wrdpblm': (161.7, 76.0), 'patterns': (171.4, 45.0)}",0.13503125,AA_1f684f13-e02a-48c
17,16,16,6.0,12.0,22.0,17.9,"{'listcomp_urd': 116.4, 'letterid_urd': -0.1, 'idwrd_urd': -10.3, 'orf_urd': 3.5, 'rdcomp_urd': 11.2, 'listcomp_eng': 84.2, 'letterid_eng': -6.7, 'pw_eng': -1.2, 'idwrd_eng': -8.8, 'orf_eng': -2.3, 'idnummag': -71.9, 'numrep': 20.8, 'blfluency': 7.0, 'bleffcomp': 6.9, 'wrdpblm': -1.4, 'patterns': 0.0}","{'listcomp_urd': (35.1, 163.0), 'letterid_urd': (39.4, 73.0), 'idwrd_urd': (40.7, 48.0), 'orf_urd': (39.8, 64.0), 'rdcomp_urd': (30.7, 62.0), 'listcomp_eng': (7.5, 126.0), 'letterid_eng': (44.1, 55.0), 'pw_eng': (35.0, 45.0), 'idwrd_eng': (34.3, 43.0), 'orf_eng': (52.9, 67.0), 'idnummag': (190.9, 123.0), 'numrep': (65.3, 99.0), 'blfluency': (109.2, 144.0), 'bleffcomp': (83.2, 103.0), 'wrdpblm': (188.5, 212.0), 'patterns': (104.4, 116.0)}",0.10943,AA_211f7272-f101-442
13,10,10,2.0,4.0,27.2,35.1,"{'listcomp_urd': -31.6, 'letterid_urd': 18.0, 'idwrd_urd': 19.4, 'letterid_eng': 2.7, 'pw_eng': 9.2, 'idnummag': -6.4, 'numrep': 0.0, 'bleffcomp': -65.8, 'wrdpblm': -69.0, 'patterns': -50.3}","{'listcomp_urd': (22.1, 14.0), 'letterid_urd': (57.8, 79.0), 'idwrd_urd': (56.3, 43.0), 'letterid_eng': (65.7, 68.0), 'pw_eng': (143.5, 40.0), 'idnummag': (35.2, 37.0), 'numrep': (8.9, 17.0), 'bleffcomp': (16.1, 6.0), 'wrdpblm': (22.7, 8.0), 'patterns': (38.5, 8.0)}",0.0792825,AA_2296af89-8918-432
13,15,13,3.0,7.0,20.6,17.8,"{'listcomp_urd': 45.2, 'letterid_urd': -23.6, 'idwrd_urd': 0.0, 'listcomp_eng': 64.3, 'letterid_eng': -25.5, 'pw_eng': 6.3, 'idwrd_eng': -2.4, 'idnummag': -41.1, 'numrep': 29.0, 'blfluency': 11.9, 'bleffcomp': 8.6, 'wrdpblm': -6.5, 'patterns': -3.6}","{'listcomp_urd': (50.8, 99.0), 'letterid_urd': (32.2, 36.0), 'idwrd_urd': (23.3, 37.0), 'listcomp_eng': (22.9, 106.0), 'letterid_eng': (83.7, 69.0), 'pw_eng': (10.1, 46.0), 'idwrd_eng': (26.7, 36.0), 'idnummag': (93.0, 29.0), 'numrep': (46.4, 85.0), 'blfluency': (35.5, 65.0), 'bleffcomp': (9.4, 33.0), 'wrdpblm': (41.5, 43.0), 'patterns': (38.7, 39.0)}",0.0863125,AA_2318428a-ea25-4cf
15,15,14,10.0,11.0,10.5,9.6,"{'listcomp_urd': 31.2, 'idwrd_urd': 1.6, 'orf_urd': -2.0, 'rdcomp_urd': -11.5, 'listcomp_eng': 39.8, 'letterid_eng': -1.0, 'pw_eng': -1.3, 'idwrd_eng': -4.8, 'idnummag': 2.7, 'numrep': 41.2, 'blfluency': 2.8, 'bleffcomp': -2.6, 'wrdpblm': -4.6, 'patterns': 0.0}","{'listcomp_urd': (17.2, 60.0), 'idwrd_urd': (92.6, 106.0), 'orf_urd': (93.4, 104.0), 'rdcomp_urd': (48.2, 47.0), 'listcomp_eng': (21.8, 74.0), 'letterid_eng': (66.2, 75.0), 'pw_eng': (25.2, 30.0), 'idwrd_eng': (17.7, 21.0), 'idnummag': (58.0, 53.0), 'numrep': (6.3, 61.0), 'blfluency': (49.1, 66.0), 'bleffcomp': (16.7, 22.0), 'wrdpblm': (57.4, 67.0), 'patterns': (53.0, 61.0)}",0.07188,AA_2387d28e-9d18-473
13,8,8,5.0,7.0,22.7,17.5,"{'listcomp_urd': -4.9, 'letterid_urd': -2.3, 'listcomp_eng': 153.2, 'idnummag': 0.0, 'numrep': 6.0, 'bleffcomp': 7.3, 'wrdpblm': -3.2, 'patterns': -4.7}","{'listcomp_urd': (34.2, 37.0), 'letterid_urd': (45.5, 63.0), 'listcomp_eng': (24.1, 177.0), 'idnummag': (32.5, 30.0), 'numrep': (25.2, 39.0), 'bleffcomp': (26.8, 42.0), 'wrdpblm': (116.0, 123.0), 'patterns': (86.7, 95.0)}",0.082265,AA_250a871a-d114-4e1
15,13,12,5.0,9.0,13.1,13.3,"{'orf_urd': -9.0, 'rdcomp_urd': -13.7, 'listcomp_eng': 38.8, 'letterid_eng': 0.1, 'pw_eng': 0.0, 'idwrd_eng': -3.0, 'idnummag': -9.2, 'numrep': 25.8, 'blfluency': -4.6, 'bleffcomp': -2.8, 'wrdpblm': 7.8, 'patterns': 43.0}","{'orf_urd': (122.8, 133.0), 'rdcomp_urd': (30.1, 27.0), 'listcomp_eng': (18.8, 59.0), 'letterid_eng': (53.5, 76.0), 'pw_eng': (17.0, 34.0), 'idwrd_eng': (129.5, 141.0), 'idnummag': (62.3, 75.0), 'numrep': (27.8, 77.0), 'blfluency': (99.5, 105.0), 'bleffcomp': (31.8, 32.0), 'wrdpblm': (73.1, 50.0), 'patterns': (17.2, 61.0)}",0.06280125,AA_268319c5-6f94-4a8
