arm,model,file,sub,machine_correct,machine_attempted,enum_correct,baseline_correct,n_pairs,tp,fp,fn,cost,error
audio,google/gemini-2.5-flash,AA_b68b3349-98b4-4c6,orf_eng,6.0,6.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0036876,
audio,google/gemini-2.5-flash,AA_05ebc0d7-bc26-4ab,idwrd_urd,14.0,19.0,14.0,5.0,16.0,2.0,2.0,0.0,0.0043251,
audio,google/gemini-2.5-flash,AA_05ebc0d7-bc26-4ab,orf_urd,10.0,29.0,20.0,2.0,29.0,8.0,11.0,1.0,0.0039267,
audio,google/gemini-2.5-flash,AA_5f48be27-6ed5-42e,idwrd_urd,50.0,50.0,5.0,0.0,9.0,0.0,0.0,4.0,0.0035151,
audio,google/gemini-2.5-flash,AA_268319c5-6f94-4a8,orf_urd,27.0,33.0,30.0,16.0,33.0,1.0,5.0,2.0,0.0048617,
audio,google/gemini-2.5-flash,AA_268319c5-6f94-4a8,orf_eng,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0046001,
audio,google/gemini-2.5-flash,AA_6d4a8671-522e-4cc,idwrd_urd,50.0,50.0,19.0,4.0,20.0,0.0,0.0,1.0,0.0042851,
audio,google/gemini-2.5-flash,AA_6d4a8671-522e-4cc,orf_urd,0.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0047817,
audio,google/gemini-2.5-flash,AA_6d4a8671-522e-4cc,orf_eng,36.0,56.0,52.0,27.0,56.0,2.0,18.0,4.0,0.0036926,
audio,google/gemini-2.5-flash,AA_5e864c07-25df-4cc,idwrd_urd,50.0,50.0,49.0,44.0,50.0,0.0,0.0,1.0,0.0058301,
audio,google/gemini-2.5-flash,AA_5e864c07-25df-4cc,orf_urd,60.0,60.0,59.0,43.0,60.0,0.0,0.0,1.0,0.0038692,
audio,google/gemini-2.5-flash,AA_5e864c07-25df-4cc,orf_eng,46.0,59.0,50.0,48.0,59.0,2.0,11.0,7.0,0.0047226,
audio,google/gemini-2.5-flash,AA_1bb7fdea-6bc2-422,idwrd_urd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0035501,
audio,google/gemini-2.5-flash,AA_788dfa6a-d7ba-413,idwrd_urd,50.0,50.0,48.0,44.0,50.0,0.0,0.0,2.0,0.0035326,
audio,google/gemini-2.5-flash,AA_788dfa6a-d7ba-413,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.0047792,
audio,google/gemini-2.5-flash,AA_788dfa6a-d7ba-413,orf_eng,49.0,59.0,53.0,55.0,59.0,0.0,10.0,6.0,0.0046601,
audio,google/gemini-2.5-flash,AA_93ae4640-bf92-45b,idwrd_urd,50.0,50.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0048301,
audio,google/gemini-2.5-flash,AA_93ae4640-bf92-45b,orf_urd,44.0,44.0,60.0,28.0,44.0,0.0,0.0,0.0,0.0047717,
audio,google/gemini-2.5-flash,AA_93ae4640-bf92-45b,orf_eng,59.0,59.0,57.0,17.0,59.0,0.0,0.0,2.0,0.0045726,
audio,google/gemini-2.5-flash,AA_ceea038f-3411-4c4,idwrd_urd,50.0,50.0,48.0,41.0,50.0,0.0,0.0,2.0,0.0035451,
audio,google/gemini-2.5-flash,AA_ceea038f-3411-4c4,orf_urd,60.0,60.0,60.0,43.0,60.0,0.0,0.0,0.0,0.0047717,
audio,google/gemini-2.5-flash,AA_ceea038f-3411-4c4,orf_eng,59.0,59.0,55.0,43.0,59.0,0.0,0.0,5.0,0.0045726,
audio,google/gemini-2.5-flash,AA_cc3e50b9-d8fd-494,idwrd_urd,48.0,50.0,27.0,14.0,32.0,0.0,2.0,5.0,0.0058476,
audio,google/gemini-2.5-flash,AA_cc3e50b9-d8fd-494,orf_urd,60.0,60.0,31.0,10.0,35.0,0.0,0.0,5.0,0.0038617,
audio,google/gemini-2.5-flash,AA_29cbf33e-8ec1-4da,idwrd_urd,50.0,50.0,44.0,41.0,50.0,0.0,0.0,6.0,0.0035326,
audio,google/gemini-2.5-flash,AA_29cbf33e-8ec1-4da,orf_urd,60.0,60.0,60.0,43.0,60.0,0.0,0.0,0.0,0.0038442,
audio,google/gemini-2.5-flash,AA_29cbf33e-8ec1-4da,orf_eng,59.0,59.0,59.0,48.0,59.0,0.0,0.0,1.0,0.0064001,
audio,google/gemini-2.5-flash,AA_05729872-0031-4b1,idwrd_urd,33.0,40.0,27.0,24.0,32.0,1.0,6.0,4.0,0.0059176,
audio,google/gemini-2.5-flash,AA_05729872-0031-4b1,orf_urd,32.0,36.0,30.0,21.0,36.0,4.0,0.0,3.0,0.0039192,
audio,google/gemini-2.5-flash,AA_05729872-0031-4b1,orf_eng,5.0,7.0,1.0,2.0,7.0,2.0,0.0,4.0,0.0064876,
audio,google/gemini-2.5-flash,AA_3a4a571d-875c-4bb,idwrd_urd,32.0,34.0,24.0,22.0,32.0,1.0,1.0,7.0,0.0043026,
audio,google/gemini-2.5-flash,AA_3a4a571d-875c-4bb,orf_urd,44.0,50.0,38.0,27.0,46.0,3.0,3.0,5.0,0.0048417,
audio,google/gemini-2.5-flash,AA_3a4a571d-875c-4bb,orf_eng,21.0,24.0,17.0,19.0,22.0,0.0,3.0,5.0,0.0037901,
audio,google/gemini-2.5-flash,AA_c82929c2-05b6-468,idwrd_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043076,
audio,google/gemini-2.5-flash,AA_c82929c2-05b6-468,orf_urd,0.0,11.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0047917,
audio,google/gemini-2.5-flash,AA_c82929c2-05b6-468,orf_eng,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0046226,
audio,google/gemini-2.5-flash,AA_dd56a505-4ac7-4d1,idwrd_urd,1.0,8.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0058526,
audio,google/gemini-2.5-flash,AA_dd56a505-4ac7-4d1,orf_urd,60.0,60.0,17.0,15.0,26.0,0.0,0.0,9.0,0.0038467,
audio,google/gemini-2.5-flash,AA_bd2f2910-0953-45a,idwrd_urd,16.0,45.0,42.0,2.0,45.0,1.0,28.0,3.0,0.0035326,
audio,google/gemini-2.5-flash,AA_bd2f2910-0953-45a,orf_urd,23.0,23.0,22.0,5.0,23.0,0.0,0.0,1.0,0.0047692,
audio,google/gemini-2.5-flash,AA_bd2f2910-0953-45a,orf_eng,0.0,6.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0046351,
audio,google/gemini-2.5-flash,AA_27e407f8-7dc7-428,idwrd_urd,50.0,50.0,48.0,28.0,50.0,0.0,0.0,2.0,0.0042851,
audio,google/gemini-2.5-flash,AA_27e407f8-7dc7-428,orf_urd,59.0,60.0,60.0,30.0,60.0,0.0,1.0,0.0,0.0047942,
audio,google/gemini-2.5-flash,AA_91ecf22b-d335-4de,idwrd_urd,50.0,50.0,50.0,38.0,50.0,0.0,0.0,0.0,0.0035201,
audio,google/gemini-2.5-flash,AA_91ecf22b-d335-4de,orf_urd,60.0,60.0,60.0,41.0,60.0,0.0,0.0,0.0,0.0047592,
audio,google/gemini-2.5-flash,AA_91ecf22b-d335-4de,orf_eng,59.0,59.0,58.0,18.0,59.0,0.0,0.0,2.0,0.0046126,
audio,google/gemini-2.5-flash,AA_7a35917e-6b9d-418,idwrd_urd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0035451,
audio,google/gemini-2.5-flash,AA_7f61eb3f-65c7-4fd,idwrd_urd,9.0,14.0,14.0,3.0,14.0,4.0,1.0,0.0,0.0058376,
audio,google/gemini-2.5-flash,AA_7f61eb3f-65c7-4fd,orf_urd,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0047542,
audio,google/gemini-2.5-flash,AA_12d53cb2-6597-40c,idwrd_urd,50.0,50.0,35.0,5.0,35.0,0.0,0.0,0.0,0.0042851,
audio,google/gemini-2.5-flash,AA_12d53cb2-6597-40c,orf_urd,60.0,60.0,57.0,14.0,60.0,0.0,0.0,3.0,0.0047667,
audio,google/gemini-2.5-flash,AA_063c4da1-14ee-4c6,idwrd_urd,50.0,50.0,49.0,39.0,50.0,0.0,0.0,1.0,0.0058301,
audio,google/gemini-2.5-flash,AA_063c4da1-14ee-4c6,orf_urd,60.0,60.0,59.0,42.0,60.0,0.0,0.0,1.0,0.0038817,
audio,google/gemini-2.5-flash,AA_063c4da1-14ee-4c6,orf_eng,50.0,59.0,57.0,50.0,59.0,1.0,8.0,2.0,0.0046251,
audio,google/gemini-2.5-flash,AA_5d2c0d0d-94a3-4cd,idwrd_urd,49.0,50.0,46.0,40.0,50.0,1.0,0.0,3.0,0.0035376,
audio,google/gemini-2.5-flash,AA_5d2c0d0d-94a3-4cd,orf_urd,60.0,60.0,59.0,41.0,60.0,0.0,0.0,1.0,0.0047592,
audio,google/gemini-2.5-flash,AA_5d2c0d0d-94a3-4cd,orf_eng,6.0,6.0,1.0,5.0,6.0,0.0,0.0,5.0,0.0046001,
audio,google/gemini-2.5-flash,AA_f3176f60-2162-435,idwrd_urd,50.0,50.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0035076,
audio,google/gemini-2.5-flash,AA_f3176f60-2162-435,orf_urd,60.0,60.0,0.0,1.0,14.0,0.0,0.0,14.0,0.0066042,
audio,google/gemini-2.5-flash,AA_f3176f60-2162-435,orf_eng,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0046126,
audio,google/gemini-2.5-flash,AA_df7b47e1-1bc3-45c,idwrd_urd,50.0,50.0,48.0,34.0,50.0,0.0,0.0,2.0,0.0035451,
audio,google/gemini-2.5-flash,AA_df7b47e1-1bc3-45c,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.0065992,
audio,google/gemini-2.5-flash,AA_df7b47e1-1bc3-45c,orf_eng,59.0,59.0,53.0,44.0,57.0,0.0,0.0,4.0,0.0045801,
audio,google/gemini-2.5-flash,AA_81cc4088-35cb-41b,idwrd_urd,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0035776,
audio,google/gemini-2.5-flash,AA_81cc4088-35cb-41b,orf_urd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0038867,
audio,google/gemini-2.5-flash,AA_72720d37-958f-4af,idwrd_urd,50.0,50.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0058301,
audio,google/gemini-2.5-flash,AA_048cadbc-2c10-416,orf_urd,60.0,60.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0038767,
audio,google/gemini-2.5-flash,AA_048cadbc-2c10-416,idwrd_urd,50.0,50.0,5.0,1.0,15.0,0.0,0.0,10.0,0.0035326,
audio,google/gemini-2.5-flash,AA_048cadbc-2c10-416,orf_eng,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0064351,
audio,google/gemini-2.5-flash,AA_b20398e6-b319-4ad,idwrd_urd,17.0,19.0,8.0,3.0,15.0,2.0,0.0,5.0,0.0035751,
audio,google/gemini-2.5-flash,AA_b20398e6-b319-4ad,orf_urd,60.0,60.0,48.0,26.0,57.0,0.0,0.0,10.0,0.0047392,
audio,google/gemini-2.5-flash,AA_b20398e6-b319-4ad,orf_eng,59.0,59.0,17.0,7.0,25.0,0.0,0.0,7.0,0.0036851,
audio,google/gemini-2.5-flash,AA_bc78193f-3d1b-4a1,idwrd_urd,47.0,47.0,48.0,40.0,47.0,0.0,0.0,2.0,0.0041326,
audio,google/gemini-2.5-flash,AA_bc78193f-3d1b-4a1,orf_urd,49.0,53.0,47.0,33.0,50.0,2.0,2.0,1.0,0.0044767,
audio,google/gemini-2.5-flash,AA_350b43cb-69b8-4f0,orf_urd,60.0,60.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0047667,
audio,google/gemini-3.8-flash,AA_eaf07843-14a1-4e9,idwrd_urd,32.0,33.0,29.0,4.0,29.0,0.0,1.0,0.0,0.00707625,
audio,google/gemini-3.8-flash,AA_eaf07843-14a1-4e9,orf_urd,40.0,47.0,48.0,12.0,47.0,1.0,6.0,1.0,0.01027725,
audio,google/gemini-3.8-flash,AA_eaf07843-14a1-4e9,orf_eng,41.0,56.0,36.0,7.0,43.0,3.0,7.0,4.0,0.0153345,
audio,google/gemini-3.8-flash,AA_aa8eabb8-8f23-448,idwrd_urd,50.0,50.0,48.0,40.0,50.0,0.0,0.0,2.0,0.009135,
audio,google/gemini-3.8-flash,AA_aa8eabb8-8f23-448,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.0073935,
audio,google/gemini-3.8-flash,AA_aa8eabb8-8f23-448,orf_eng,58.0,59.0,56.0,34.0,59.0,0.0,1.0,3.0,0.0155595,
audio,google/gemini-3.8-flash,AA_b2abea24-c5e2-478,idwrd_urd,49.0,50.0,48.0,38.0,50.0,1.0,0.0,1.0,0.01086825,
audio,google/gemini-3.8-flash,AA_b2abea24-c5e2-478,orf_urd,60.0,60.0,60.0,40.0,60.0,0.0,0.0,0.0,0.00738975,
audio,google/gemini-3.8-flash,AA_b2abea24-c5e2-478,orf_eng,58.0,59.0,60.0,47.0,59.0,0.0,1.0,0.0,0.011535,
audio,google/gemini-3.8-flash,AA_34eb5079-1c89-41d,idwrd_urd,12.0,17.0,10.0,3.0,16.0,3.0,1.0,3.0,0.0144975,
audio,google/gemini-3.8-flash,AA_34eb5079-1c89-41d,orf_urd,15.0,19.0,12.0,2.0,19.0,3.0,1.0,4.0,0.00998025,
audio,google/gemini-3.8-flash,AA_34eb5079-1c89-41d,orf_eng,13.0,20.0,10.0,4.0,20.0,3.0,4.0,7.0,0.01166325,
audio,google/gemini-3.8-flash,AA_44e68d46-79a6-402,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.00984225,
audio,google/gemini-3.8-flash,AA_44e68d46-79a6-402,orf_eng,54.0,59.0,52.0,38.0,57.0,1.0,4.0,4.0,0.008535,
audio,google/gemini-3.8-flash,AA_b47c2091-d93e-49d,idwrd_urd,50.0,50.0,50.0,39.0,50.0,0.0,0.0,0.0,0.00799875,
audio,google/gemini-3.8-flash,AA_b47c2091-d93e-49d,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.00759975,
audio,google/gemini-3.8-flash,AA_b47c2091-d93e-49d,orf_eng,57.0,59.0,54.0,44.0,59.0,0.0,2.0,6.0,0.00868575,
audio,google/gemini-3.8-flash,AA_b68b3349-98b4-4c6,idwrd_urd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00476325,
audio,google/gemini-3.8-flash,AA_b68b3349-98b4-4c6,orf_urd,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.01099725,
audio,google/gemini-3.8-flash,AA_b68b3349-98b4-4c6,orf_eng,5.0,7.0,0.0,2.0,5.0,2.0,0.0,3.0,0.01187325,
audio,google/gemini-3.8-flash,AA_05ebc0d7-bc26-4ab,idwrd_urd,14.0,19.0,14.0,5.0,16.0,2.0,2.0,0.0,0.0089325,
audio,google/gemini-3.8-flash,AA_05ebc0d7-bc26-4ab,orf_urd,5.0,23.0,20.0,2.0,23.0,8.0,10.0,0.0,0.01156275,
audio,google/gemini-3.8-flash,AA_5f48be27-6ed5-42e,idwrd_urd,0.0,4.0,5.0,0.0,4.0,2.0,2.0,0.0,0.00657075,
audio,google/gemini-3.8-flash,AA_268319c5-6f94-4a8,orf_urd,25.0,33.0,30.0,16.0,33.0,0.0,8.0,3.0,0.009426,
audio,google/gemini-3.8-flash,AA_268319c5-6f94-4a8,orf_eng,3.0,6.0,0.0,5.0,5.0,3.0,0.0,2.0,0.00639075,
audio,google/gemini-3.8-flash,AA_6d4a8671-522e-4cc,idwrd_urd,28.0,28.0,19.0,4.0,20.0,0.0,0.0,1.0,0.009192,
audio,google/gemini-3.8-flash,AA_6d4a8671-522e-4cc,orf_urd,8.0,8.0,31.0,3.0,8.0,0.0,0.0,0.0,0.00644025,
audio,google/gemini-3.8-flash,AA_6d4a8671-522e-4cc,orf_eng,33.0,57.0,52.0,27.0,57.0,2.0,22.0,4.0,0.0069945,
audio,google/gemini-3.8-flash,AA_5e864c07-25df-4cc,idwrd_urd,48.0,50.0,49.0,44.0,50.0,1.0,1.0,0.0,0.0086295,
audio,google/gemini-3.8-flash,AA_5e864c07-25df-4cc,orf_urd,59.0,60.0,59.0,43.0,60.0,1.0,0.0,0.0,0.0078465,
audio,google/gemini-3.8-flash,AA_5e864c07-25df-4cc,orf_eng,51.0,59.0,50.0,48.0,59.0,1.0,7.0,8.0,0.00946575,
audio,google/gemini-3.8-flash,AA_1bb7fdea-6bc2-422,idwrd_urd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0060825,
audio,google/gemini-3.8-flash,AA_788dfa6a-d7ba-413,idwrd_urd,48.0,50.0,48.0,44.0,50.0,2.0,0.0,0.0,0.0073695,
audio,google/gemini-3.8-flash,AA_788dfa6a-d7ba-413,orf_urd,60.0,60.0,60.0,42.0,60.0,0.0,0.0,0.0,0.00752775,
audio,google/gemini-3.8-flash,AA_788dfa6a-d7ba-413,orf_eng,51.0,59.0,53.0,55.0,59.0,0.0,8.0,6.0,0.009837,
audio,google/gemini-3.8-flash,AA_93ae4640-bf92-45b,idwrd_urd,50.0,50.0,50.0,43.0,50.0,0.0,0.0,0.0,0.008652,
audio,google/gemini-3.8-flash,AA_93ae4640-bf92-45b,orf_urd,44.0,44.0,60.0,28.0,44.0,0.0,0.0,0.0,0.00718275,
audio,google/gemini-3.8-flash,AA_93ae4640-bf92-45b,orf_eng,36.0,59.0,57.0,17.0,59.0,0.0,23.0,2.0,0.01106325,
audio,google/gemini-3.8-flash,AA_ceea038f-3411-4c4,idwrd_urd,49.0,50.0,48.0,41.0,50.0,0.0,1.0,2.0,0.0090495,
audio,google/gemini-3.8-flash,AA_ceea038f-3411-4c4,orf_urd,59.0,60.0,60.0,43.0,60.0,0.0,1.0,0.0,0.009606,
audio,google/gemini-3.8-flash,AA_ceea038f-3411-4c4,orf_eng,49.0,59.0,55.0,43.0,59.0,1.0,9.0,4.0,0.01003575,
audio,google/gemini-3.8-flash,AA_cc3e50b9-d8fd-494,idwrd_urd,29.0,32.0,27.0,14.0,32.0,3.0,0.0,2.0,0.01671825,
audio,google/gemini-3.8-flash,AA_cc3e50b9-d8fd-494,orf_urd,35.0,36.0,31.0,10.0,35.0,1.0,0.0,4.0,0.0114435,
audio,google/gemini-3.8-flash,AA_29cbf33e-8ec1-4da,idwrd_urd,47.0,50.0,44.0,41.0,50.0,3.0,0.0,3.0,0.0095595,
audio,google/gemini-3.8-flash,AA_29cbf33e-8ec1-4da,orf_urd,60.0,60.0,60.0,43.0,60.0,0.0,0.0,0.0,0.00853725,
audio,google/gemini-3.8-flash,AA_29cbf33e-8ec1-4da,orf_eng,59.0,59.0,59.0,48.0,59.0,0.0,0.0,1.0,0.007392,
audio,google/gemini-3.8-flash,AA_05729872-0031-4b1,idwrd_urd,31.0,41.0,27.0,24.0,32.0,3.0,6.0,2.0,0.01398825,
audio,google/gemini-3.8-flash,AA_05729872-0031-4b1,orf_urd,29.0,36.0,30.0,21.0,36.0,5.0,2.0,2.0,0.00882975,
audio,google/gemini-3.8-flash,AA_05729872-0031-4b1,orf_eng,3.0,7.0,1.0,2.0,7.0,4.0,0.0,2.0,0.0074175,
audio,google/gemini-3.8-flash,AA_3a4a571d-875c-4bb,idwrd_urd,28.0,34.0,24.0,22.0,32.0,3.0,1.0,5.0,0.00763125,
audio,google/gemini-3.8-flash,AA_3a4a571d-875c-4bb,orf_urd,40.0,49.0,38.0,27.0,46.0,7.0,1.0,1.0,0.010266,
audio,google/gemini-3.8-flash,AA_3a4a571d-875c-4bb,orf_eng,20.0,24.0,17.0,19.0,22.0,0.0,4.0,5.0,0.01075575,
audio,google/gemini-3.8-flash,AA_c82929c2-05b6-468,idwrd_urd,0.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,0.00725625,
audio,google/gemini-3.8-flash,AA_c82929c2-05b6-468,orf_urd,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.00760725,
audio,google/gemini-3.8-flash,AA_c82929c2-05b6-468,orf_eng,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.005097,
audio,google/gemini-3.8-flash,AA_dd56a505-4ac7-4d1,idwrd_urd,0.0,8.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0066195,
audio,google/gemini-3.8-flash,AA_dd56a505-4ac7-4d1,orf_urd,21.0,27.0,17.0,15.0,26.0,5.0,1.0,4.0,0.017256,
audio,google/gemini-3.8-flash,AA_bd2f2910-0953-45a,idwrd_urd,19.0,46.0,42.0,2.0,46.0,0.0,27.0,4.0,0.015255,
audio,google/gemini-3.8-flash,AA_bd2f2910-0953-45a,orf_urd,22.0,23.0,22.0,5.0,23.0,0.0,1.0,1.0,0.00866775,
audio,google/gemini-3.8-flash,AA_bd2f2910-0953-45a,orf_eng,1.0,6.0,0.0,4.0,5.0,4.0,0.0,1.0,0.00843375,
audio,google/gemini-3.8-flash,AA_27e407f8-7dc7-428,idwrd_urd,50.0,50.0,48.0,28.0,50.0,0.0,0.0,2.0,0.00855075,
audio,google/gemini-3.8-flash,AA_27e407f8-7dc7-428,orf_urd,60.0,60.0,60.0,30.0,60.0,0.0,0.0,0.0,0.00649725,
audio,google/gemini-3.8-flash,AA_91ecf22b-d335-4de,idwrd_urd,50.0,50.0,50.0,38.0,50.0,0.0,0.0,0.0,0.00741075,
audio,google/gemini-3.8-flash,AA_91ecf22b-d335-4de,orf_urd,60.0,60.0,60.0,41.0,60.0,0.0,0.0,0.0,0.007341,
audio,google/gemini-3.8-flash,AA_91ecf22b-d335-4de,orf_eng,57.0,59.0,58.0,18.0,59.0,0.0,2.0,2.0,0.01040325,
audio,google/gemini-3.8-flash,AA_7a35917e-6b9d-418,idwrd_urd,0.0,11.0,1.0,0.0,6.0,5.0,1.0,0.0,0.00736575,
audio,google/gemini-3.8-flash,AA_7f61eb3f-65c7-4fd,idwrd_urd,10.0,15.0,14.0,3.0,15.0,5.0,0.0,0.0,0.00835125,
audio,google/gemini-3.8-flash,AA_7f61eb3f-65c7-4fd,orf_urd,4.0,7.0,0.0,0.0,5.0,2.0,0.0,3.0,0.01005225,
audio,google/gemini-3.8-flash,AA_12d53cb2-6597-40c,idwrd_urd,35.0,35.0,35.0,5.0,35.0,0.0,0.0,0.0,0.00718125,
audio,google/gemini-3.8-flash,AA_12d53cb2-6597-40c,orf_urd,54.0,56.0,57.0,14.0,56.0,0.0,2.0,2.0,0.0124785,
audio,google/gemini-3.8-flash,AA_063c4da1-14ee-4c6,idwrd_urd,49.0,50.0,49.0,39.0,50.0,1.0,0.0,0.0,0.0089595,
audio,google/gemini-3.8-flash,AA_063c4da1-14ee-4c6,orf_urd,57.0,60.0,59.0,42.0,60.0,0.0,3.0,1.0,0.00983475,
audio,google/gemini-3.8-flash,AA_063c4da1-14ee-4c6,orf_eng,52.0,59.0,57.0,50.0,59.0,1.0,6.0,2.0,0.01096125,
audio,google/gemini-3.8-flash,AA_5d2c0d0d-94a3-4cd,idwrd_urd,46.0,50.0,46.0,40.0,50.0,4.0,0.0,0.0,0.00870825,
audio,google/gemini-3.8-flash,AA_5d2c0d0d-94a3-4cd,orf_urd,60.0,60.0,59.0,41.0,60.0,0.0,0.0,1.0,0.007956,
audio,google/gemini-3.8-flash,AA_5d2c0d0d-94a3-4cd,orf_eng,6.0,6.0,1.0,5.0,6.0,0.0,0.0,5.0,0.00518325,
audio,google/gemini-3.8-flash,AA_f3176f60-2162-435,idwrd_urd,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.00492825,
audio,google/gemini-3.8-flash,AA_f3176f60-2162-435,orf_urd,17.0,17.0,0.0,1.0,14.0,0.0,0.0,14.0,0.0107565,
audio,google/gemini-3.8-flash,AA_f3176f60-2162-435,orf_eng,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.00505575,
audio,google/gemini-3.8-flash,AA_df7b47e1-1bc3-45c,idwrd_urd,50.0,50.0,48.0,34.0,50.0,0.0,0.0,2.0,0.00861525,
audio,google/gemini-3.8-flash,AA_df7b47e1-1bc3-45c,orf_urd,59.0,60.0,60.0,42.0,60.0,0.0,1.0,0.0,0.00812325,
audio,google/gemini-3.8-flash,AA_df7b47e1-1bc3-45c,orf_eng,50.0,52.0,53.0,44.0,52.0,1.0,1.0,3.0,0.01289775,
audio,google/gemini-3.8-flash,AA_81cc4088-35cb-41b,idwrd_urd,3.0,50.0,0.0,2.0,5.0,5.0,0.0,0.0,0.00744825,
