file,cost,idnummag_machine,idnummag_n,idnummag_enum,numrep_machine,numrep_n,numrep_enum,bleffcomp_machine,bleffcomp_n,bleffcomp_enum,wrdpblm_machine,wrdpblm_n,wrdpblm_enum,patterns_machine,patterns_n,patterns_enum
AA_5d2c0d0d-94a3-4cd,0.14928875,4.0,9,5.0,5.0,8,6.0,0.0,4,2.0,5.0,8,8.0,5.0,8,8.0
AA_5dce002b-57cd-4c9,0.1310875,0.0,7,7.0,1.0,6,3.0,,0,1.0,1.0,7,4.0,0.0,8,6.0
AA_62299df1-9cd3-496,0.1087175,1.0,9,7.0,,0,2.0,0.0,3,0.0,0.0,1,0.0,1.0,7,1.0
AA_63037a7f-dae6-4ca,0.04257,2.0,9,4.0,,0,2.0,,0,0.0,,0,0.0,2.0,5,0.0
AA_68b78def-9aaa-4e3,0.11529875,2.0,3,7.0,1.0,4,3.0,0.0,5,2.0,2.0,8,4.0,5.0,7,5.0
AA_69691a12-deef-4dd,0.124505,0.0,8,1.0,1.0,7,1.0,0.0,10,0.0,0.0,4,0.0,0.0,10,2.0
AA_6b23e6a2-c3d5-475,0.06629,0.0,8,2.0,1.0,8,2.0,1.0,1,0.0,0.0,4,0.0,0.0,3,0.0
AA_6d4a8671-522e-4cc,0.0812075,1.0,2,8.0,0.0,3,7.0,0.0,4,5.0,0.0,1,0.0,1.0,2,7.0
AA_6eb8713d-8fdc-4f2,0.1318125,1.0,3,5.0,1.0,7,1.0,0.0,7,1.0,0.0,8,1.0,1.0,7,2.0
AA_6f2e975a-3208-448,0.1450475,2.0,9,5.0,2.0,6,4.0,2.0,12,0.0,1.0,8,1.0,0.0,4,0.0
AA_72720d37-958f-4af,0.11865875,0.0,3,5.0,0.0,7,3.0,,0,1.0,0.0,8,1.0,1.0,7,4.0
AA_731980f2-fda7-482,0.12559125,1.0,3,0.0,0.0,4,3.0,0.0,4,0.0,0.0,4,0.0,1.0,7,6.0
AA_7383689c-5655-418,0.097585,,0,6.0,0.0,2,2.0,0.0,1,2.0,0.0,4,1.0,2.0,5,5.0
AA_788dfa6a-d7ba-413,0.16332125,3.0,10,6.0,1.0,7,5.0,6.0,13,4.0,5.0,8,7.0,7.0,8,7.0
AA_7a35917e-6b9d-418,0.050865,0.0,3,0.0,0.0,1,2.0,0.0,2,0.0,1.0,3,2.0,0.0,2,4.0
AA_7ad7b97a-d69d-416,0.15710625,0.0,6,1.0,3.0,4,3.0,2.0,8,2.0,4.0,8,6.0,0.0,8,5.0
AA_7e082938-042e-46a,0.1641275,1.0,7,5.0,4.0,9,6.0,4.0,8,4.0,1.0,8,5.0,0.0,6,4.0
AA_7e0f11d6-0031-492,0.1105425,,0,3.0,1.0,6,5.0,0.0,6,2.0,1.0,8,5.0,0.0,8,5.0
AA_7f61eb3f-65c7-4fd,0.1052675,0.0,9,7.0,2.0,6,6.0,2.0,8,2.0,5.0,8,6.0,0.0,8,5.0
AA_8013413a-f6a1-4ac,0.10246625,5.0,7,6.0,5.0,8,5.0,,0,0.0,3.0,8,3.0,4.0,7,6.0
AA_8078f394-0660-4be,0.02761,0.0,2,4.0,0.0,1,3.0,0.0,1,1.0,,0,6.0,1.0,1,5.0
AA_810c50e0-1c11-44b,0.0368875,0.0,5,4.0,0.0,3,3.0,,0,2.0,,0,0.0,,0,0.0
AA_81cc4088-35cb-41b,0.06214375,0.0,8,1.0,0.0,5,1.0,,0,0.0,1.0,6,2.0,0.0,2,0.0
AA_83e92973-f500-426,0.0874425,3.0,6,3.0,0.0,6,2.0,,0,0.0,1.0,4,1.0,0.0,2,0.0
AA_86da0dbc-4ece-4ee,0.15522375,5.0,6,6.0,1.0,6,3.0,1.0,8,5.0,1.0,8,5.0,5.0,9,5.0
AA_87731df7-f734-4ff,0.148895,1.0,7,2.0,1.0,7,3.0,0.0,2,0.0,1.0,8,3.0,0.0,8,5.0
AA_89cb8f1a-69e3-424,0.1130125,8.0,13,5.0,4.0,9,4.0,0.0,10,0.0,0.0,4,0.0,1.0,6,1.0
AA_8c934dfb-1a72-492,0.1268575,1.0,6,0.0,1.0,7,2.0,2.0,7,3.0,2.0,7,6.0,1.0,7,3.0
AA_8d152f25-5b3e-4b3,0.067795,0.0,5,0.0,0.0,3,2.0,,0,1.0,0.0,3,0.0,0.0,1,5.0
AA_8e03896a-2912-496,0.11648375,7.0,12,8.0,4.0,8,4.0,1.0,4,3.0,6.0,8,7.0,4.0,9,6.0
AA_8e29defb-2c2e-496,0.1316625,0.0,6,5.0,0.0,9,1.0,0.0,8,1.0,0.0,4,0.0,1.0,9,3.0
AA_91ecf22b-d335-4de,0.155535,1.0,9,8.0,4.0,10,8.0,14.0,21,8.0,5.0,8,8.0,2.0,8,7.0
AA_92bdf696-3742-41e,0.135708125,3.0,4,6.0,2.0,8,2.0,2.0,7,2.0,1.0,8,3.0,3.0,8,7.0
AA_93ae4640-bf92-45b,0.1438375,0.0,10,7.0,0.0,5,2.0,0.0,5,3.0,0.0,3,0.0,0.0,7,8.0
AA_94917b5c-07a6-4c5,0.1160225,1.0,8,2.0,0.0,7,2.0,,0,0.0,1.0,7,3.0,1.0,6,4.0
AA_955704af-dbd7-423,0.0975425,0.0,8,2.0,1.0,7,1.0,,0,1.0,0.0,4,0.0,0.0,9,2.0
AA_977bf4d2-d71d-42b,0.08276625,0.0,6,1.0,0.0,6,3.0,0.0,2,0.0,0.0,4,0.0,0.0,7,5.0
AA_99ab36ed-ed68-4e9,0.09055625,1.0,9,7.0,0.0,6,3.0,,0,2.0,0.0,2,0.0,0.0,9,7.0
AA_9d92617a-c53f-43e,0.162825,6.0,7,6.0,7.0,7,8.0,0.0,18,6.0,7.0,8,8.0,4.0,7,8.0
AA_9f532c2d-d760-4fa,0.15592,3.0,9,6.0,3.0,6,7.0,1.0,1,0.0,4.0,5,7.0,2.0,6,7.0
AA_a17b3477-e1fc-411,0.16097375,1.0,11,8.0,0.0,7,5.0,1.0,1,6.0,3.0,8,6.0,2.0,8,7.0
AA_a2bda34a-2d3a-439,0.15881125,0.0,3,8.0,0.0,6,8.0,0.0,9,5.0,1.0,8,8.0,0.0,7,8.0
AA_a37dfa4b-5be9-4b9,0.0694475,,0,2.0,1.0,4,3.0,2.0,2,3.0,1.0,3,0.0,2.0,3,0.0
AA_a81b627e-e833-453,0.15098375,9.0,9,5.0,0.0,6,2.0,0.0,8,2.0,2.0,8,2.0,3.0,8,5.0
AA_a8b75240-0f0f-44f,0.12866125,8.0,12,3.0,1.0,8,2.0,,0,0.0,0.0,4,0.0,1.0,8,4.0
AA_a8eef4b9-ab7b-48d,0.0608275,0.0,8,1.0,0.0,9,3.0,,0,0.0,0.0,4,0.0,0.0,3,0.0
AA_a8f57a8e-c029-4c9,0.15566125,5.0,7,4.0,5.0,7,8.0,0.0,7,1.0,5.0,8,5.0,0.0,7,7.0
AA_a9c5ede9-f374-4d5,0.148226625,0.0,1,7.0,2.0,7,3.0,0.0,4,0.0,1.0,8,2.0,1.0,6,2.0
AA_aa100754-6f80-435,0.07457875,2.0,8,2.0,0.0,5,2.0,0.0,3,0.0,1.0,4,1.0,0.0,1,0.0
AA_aa8eabb8-8f23-448,0.10373125,1.0,6,7.0,1.0,7,4.0,3.0,6,2.0,2.0,8,5.0,0.0,1,0.0
AA_aaf90938-fddb-4c4,0.1258525,1.0,8,4.0,0.0,8,1.0,0.0,6,5.0,0.0,4,0.0,0.0,7,6.0
AA_ab58d9ce-9e25-42f,0.15979875,9.0,10,7.0,8.0,10,7.0,15.0,20,4.0,5.0,8,7.0,4.0,7,7.0
AA_aef46179-5917-4dd,0.12017875,3.0,8,4.0,0.0,8,2.0,,0,0.0,0.0,9,2.0,2.0,6,6.0
AA_b041c30a-d404-49f,0.11813125,3.0,8,4.0,0.0,8,1.0,0.0,2,0.0,0.0,4,0.0,1.0,9,3.0
AA_b11dfafb-fc92-462,0.1650375,6.0,9,7.0,1.0,7,3.0,6.0,7,5.0,6.0,8,8.0,6.0,7,7.0
AA_b20398e6-b319-4ad,0.145355,0.0,9,6.0,1.0,6,5.0,,0,2.0,0.0,8,4.0,0.0,5,0.0
AA_b47c2091-d93e-49d,0.1525975,3.0,8,7.0,3.0,8,7.0,3.0,21,1.0,4.0,7,7.0,0.0,9,7.0
AA_b4c70664-f41f-4d8,0.125275,1.0,13,3.0,0.0,7,2.0,,0,0.0,0.0,4,0.0,0.0,9,2.0
AA_b68b3349-98b4-4c6,0.0819775,,0,3.0,,0,3.0,0.0,5,0.0,0.0,8,1.0,0.0,4,0.0
AA_b7acd1f0-8ee8-404,0.1222525,1.0,7,0.0,0.0,5,2.0,1.0,1,0.0,1.0,8,1.0,1.0,5,2.0
AA_b929908f-532d-4e7,0.11138,0.0,2,8.0,0.0,3,6.0,,0,0.0,,0,5.0,1.0,5,5.0
AA_bc78193f-3d1b-4a1,0.08833,1.0,2,4.0,1.0,6,2.0,0.0,3,0.0,2.0,8,2.0,1.0,4,6.0
AA_bce900f1-0156-4e0,0.14011375,,0,7.0,3.0,6,6.0,3.0,8,3.0,3.0,8,6.0,2.0,2,6.0
AA_bd035dbb-e421-480,0.12561375,3.0,6,5.0,1.0,8,8.0,1.0,8,4.0,1.0,8,6.0,1.0,4,4.0
AA_bd2f2910-0953-45a,0.1012275,2.0,4,1.0,0.0,4,0.0,0.0,4,2.0,0.0,4,0.0,0.0,2,0.0
AA_be2450d2-2128-493,0.12086375,2.0,2,6.0,1.0,4,2.0,,0,0.0,3.0,8,5.0,1.0,4,6.0
AA_be261198-6c5f-4b9,0.0862075,3.0,10,2.0,2.0,6,2.0,1.0,3,0.0,0.0,4,0.0,1.0,6,0.0
AA_bee0235b-f2cd-42b,0.130815,1.0,8,3.0,3.0,7,6.0,0.0,4,0.0,3.0,8,8.0,2.0,8,2.0
AA_bf833efb-b7bf-4a0,0.03992625,1.0,2,0.0,,0,2.0,0.0,1,2.0,0.0,4,1.0,,0,1.0
AA_c073035b-93b5-46e,0.097665,0.0,6,2.0,0.0,8,2.0,,0,1.0,1.0,7,3.0,0.0,7,4.0
AA_c82929c2-05b6-468,0.04032125,0.0,4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,4,0.0,0.0,2,0.0
AA_cae1bdae-bf19-4d7,0.10265,0.0,6,2.0,0.0,5,3.0,0.0,5,0.0,2.0,7,1.0,0.0,3,0.0
AA_cc3e50b9-d8fd-494,0.149175,3.0,5,6.0,0.0,2,5.0,1.0,3,5.0,1.0,4,6.0,1.0,2,7.0
AA_ceea038f-3411-4c4,0.14524875,3.0,7,8.0,1.0,3,3.0,1.0,7,5.0,1.0,1,8.0,2.0,6,7.0
AA_d297262c-ee74-4c9,0.10911875,,0,4.0,0.0,6,1.0,0.0,8,1.0,0.0,8,2.0,0.0,4,0.0
AA_d2b6e70c-b3fd-4bd,0.06257,0.0,9,3.0,0.0,5,2.0,,0,0.0,0.0,8,2.0,0.0,4,0.0
AA_d53dbe59-66a4-415,0.147905,0.0,7,6.0,0.0,7,2.0,0.0,3,0.0,2.0,8,2.0,0.0,5,0.0
AA_d7e1f153-71b4-4e8,0.08455125,0.0,5,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,4,0.0
AA_d897830f-bbaa-44d,0.07975625,0.0,5,0.0,2.0,5,3.0,0.0,7,3.0,0.0,4,0.0,0.0,7,6.0
AA_d99c7b13-c3a8-489,0.1422875,7.0,13,5.0,2.0,7,4.0,,0,1.0,0.0,8,2.0,0.0,6,0.0
AA_dd56a505-4ac7-4d1,0.122880375,2.0,8,4.0,0.0,7,1.0,0.0,11,1.0,0.0,4,0.0,1.0,4,0.0
AA_de08d551-d829-448,0.12823625,1.0,2,7.0,4.0,5,4.0,5.0,6,3.0,4.0,8,5.0,7.0,8,8.0
AA_df7b47e1-1bc3-45c,0.124285,2.0,8,3.0,3.0,8,2.0,0.0,4,0.0,0.0,4,0.0,1.0,7,4.0
AA_dff96b36-bded-45d,0.136946,7.0,9,7.0,7.0,7,8.0,0.0,3,1.0,3.0,8,3.0,3.0,10,6.0
AA_e0a22a65-fe8a-416,0.0434375,1.0,4,0.0,0.0,3,1.0,,0,0.0,0.0,2,0.0,0.0,3,0.0
AA_e323a748-9ded-40c,0.13727,0.0,7,6.0,3.0,7,3.0,0.0,6,0.0,1.0,8,1.0,0.0,2,0.0
AA_e754feee-6c35-40c,0.0333925,,0,0.0,,0,1.0,,0,0.0,0.0,4,0.0,0.0,4,0.0
AA_e87962ab-1398-4ca,0.10662375,0.0,8,8.0,2.0,8,3.0,0.0,6,1.0,5.0,8,7.0,0.0,8,3.0
AA_e88f0436-95cb-4a0,0.1603125,1.0,3,7.0,2.0,2,5.0,0.0,4,2.0,2.0,5,2.0,2.0,2,5.0
AA_e9ef5a5c-fae0-45a,0.03028,0.0,1,0.0,,0,2.0,,0,0.0,0.0,1,0.0,0.0,5,0.0
AA_eaf07843-14a1-4e9,0.16086875,3.0,6,6.0,5.0,7,7.0,1.0,5,2.0,2.0,8,5.0,0.0,2,3.0
AA_eb127efb-92a9-4eb,0.13315875,7.0,9,6.0,5.0,11,5.0,,0,0.0,3.0,8,5.0,3.0,9,4.0
AA_eb34954f-5621-459,0.11201875,4.0,11,7.0,2.0,7,6.0,,0,4.0,3.0,8,5.0,0.0,8,6.0
AA_eb788e8a-917d-490,0.15074125,6.0,9,6.0,4.0,8,7.0,11.0,17,4.0,3.0,8,7.0,0.0,8,7.0
AA_ece27ef7-9e9e-418,0.13649875,0.0,8,4.0,3.0,8,6.0,0.0,4,0.0,4.0,8,6.0,0.0,9,5.0
AA_f23c9f69-858b-47c,0.08809125,3.0,7,0.0,1.0,4,0.0,1.0,3,1.0,0.0,4,0.0,3.0,7,2.0
AA_f3176f60-2162-435,0.127835,0.0,8,0.0,0.0,6,2.0,,0,0.0,0.0,8,1.0,1.0,8,3.0
AA_f7082921-2c6b-414,0.09138125,0.0,10,7.0,2.0,6,4.0,0.0,4,2.0,4.0,8,5.0,0.0,8,6.0
AA_f9c6d56f-7ca9-4ff,0.15601875,8.0,10,7.0,4.0,7,7.0,16.0,18,7.0,8.0,8,8.0,5.0,5,8.0
AA_f9d06535-01d9-432,0.1544825,0.0,11,5.0,0.0,9,2.0,0.0,6,0.0,0.0,8,2.0,0.0,10,5.0
AA_fb785d2a-c665-4f3,0.12238375,0.0,8,3.0,4.0,6,5.0,,0,1.0,1.0,8,3.0,0.0,10,3.0
AA_fbc07ae4-2c3f-40d,0.08220625,3.0,7,3.0,0.0,1,2.0,,0,0.0,0.0,3,0.0,0.0,6,4.0
